Brand,Model No,Discription,Category,Vehical Application,Features,Price,Intallation Video (Youtube Link),Other Information,Disclaimer,Downloads
TOYOTA,FA-TY02/INO-ACVEN,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,,,2330,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY02/CYT/9,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota Innova Crysta,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,1255,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO-AD-TO/NW-2,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,475,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY04/OCM-T1/9,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota  Camry 2004-2001,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,3095,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO/AD-TO/OL-5,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,405,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY04/OCM/10,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota  Camry 2004-2001,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,1485,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO/AD-TO/OL-6,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,405,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY04/NCM/10,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota  Camry 2012-2016,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,1605,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO-AD-TO/NW-4,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,475,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY02/ETS/9,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota Etios Liva,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,1255,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO/AD-TO/OL-7,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,405,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY02/ALS/9,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota  Altis 2008-2016,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,1015,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO/AD-TO/OL-8,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,405,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY02/ALS14/9,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota Altis 2014-17,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,1995,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO-AD-TO/NW-5,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,475,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY02/ALS17/9,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota Altis 2017-19,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,2195,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO-AD-TO/NW-6,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,475,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY03/YRS-M/9,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota Yaris Manual,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,2195,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO-AD-TO/NW-7,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,475,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY03/YRS-A/9,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota Yaris Auto,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,2195,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO-AD-TO/NW,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,475,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY03LH/PD/9,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota Prado 2004-2012,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,2735,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO/AD-TO/OL-9,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,405,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY03LH/PDN/9,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota Prado 2013+ & Applicable for Selected Models,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,3160,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CAN/AD-TY/PD,,ANDROID FRAMES,,,4730,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY02/LC/10,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota Land Crusier,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,3615,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO/AD-TO/OL,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,405,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,AD/AU-TY04/U/OE,OEM Place USB Retention Cable (Android System 9 or 10 inch),ANDROID AUX & USB BT,Applicable for Selected Models,1. Plug and play no cutting of wires required. 2. Allows the retention of the OEM USB socket situated at original place. 3. Maintain the originality of the car while changing OEM radio with aftermarket radio. ,300,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,AD/PAM02-UNI,4Ch Preamp with Universal Male Female connector of Android System,ANDROID PREAMP CONVERTER,Universal for All Android radio of 7inch 9inch & 10inch (Android Connector should be same as shown in Picture),1. Generate RCA output to install Amplifire wiht great sound output. 2. Plug and play no cutting of wires required. 3. Simply plug one end of the connector into your Android car wise connector and the other into your Android radio. 4. Male / Female connector allow to use for upgrade of Android radio with additional sound with using Hi-Low convertor or the preamplifier to enhance the power of sound without cutting of original wires.,1850,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY04/OCR,Car Stereo Installation Facia Kit,AUDIO INSTALLATION KIT,Toyota Corolla 2003-2007,1. 2DIN Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 2DIN Radio. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,1077,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY04/OCR-BKT,Car Stereo Installation Facia Kit,AUDIO INSTALLATION KIT,Toyota Corolla 2003-2007,1. 2DIN Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 2DIN Radio. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,3424,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY02/BKT,Car Stereo Installation Facia Kit,AUDIO INSTALLATION KIT,Toyota Side Bracket Innova Fortuner Upto 2011 Etios & Etios Liva upto 2017 Etios 2018-19 Basic Varient,1. 2DIN Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 2DIN Radio. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,55,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY0203/BKT-AU,Car Stereo Installation Facia Kit,AUDIO INSTALLATION KIT,Toyota Side Brecket with AUX / USB Innova Fortuner Upto 2011 Etios & Etios Liva upto 2017 Etios 2018-19 Basic Varient,1. 2DIN Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 2DIN Radio. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,552,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY04LH/FNR,Car Stereo Installation Facia Kit,AUDIO INSTALLATION KIT,Toyota Fortuner 2012- July 2018,1. 2DIN Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 2DIN Radio. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,1436,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY02/FOR,Car Stereo Installation Facia Kit,AUDIO INSTALLATION KIT,Toyota Fortuner After July 2018+,1. 2DIN Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 2DIN Radio. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,5771,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
